Jim Carrey,17 January 1962,False,284,Lauren Holly,28 October 1963,False,-1,23 September 1996,29 July 1997,0,True
Gillian Anderson,09 August 1968,False,295,Julian Ozanne,None,False,-1,29 December 2004,24 July 2007,0,True
Gemma Arterton,02 February 1986,False,115,Stefano Catelli,None,True,-1,05 June 2010,21 August 2015,0,True
Sandra Bullock,26 July 1964,False,364,Jesse James,19 April 1969,False,-1,16 July 2005,28 June 2010,0,True
Aaron Taylor-Johnson,13 June 1990,False,4,Sam Taylor-Johnson,04 March 1967,False,260,21 June 2012,None,2,False
Riley Keough,29 May 1989,False,216,Ben Smith-Petersen,None,False,-1,04 February 2015,None,0,False
Tom Cruise,03 July 1962,False,123,Katie Holmes,18 December 1978,False,-1,18 November 2006,20 August 2012,1,True
Olivia Colman,30 January 1974,False,409,Ed Sinclair,None,False,-1,01 August 2001,None,3,False
Sherilyn Fenn,01 February 1965,False,414,Toulouse Holliday,None,False,-1,04 December 1994,01 January 1997,1,True
Vera Farmiga,06 August 1973,False,484,Sebastian Roché,04 August 1964,False,-1,01 January 1997,01 January 2005,0,True
Patrick Dempsey,13 January 1966,False,496,Rocky Parker,26 February 1940,False,-1,24 August 1987,26 April 1994,0,True
Mark Wahlberg,05 June 1971,False,96,Rhea Durham,01 July 1978,False,-1,01 August 2009,None,4,False
Nicolas Cage,07 January 1964,False,127,Lisa Marie Presley,01 February 1968,False,-1,10 August 2002,16 May 2004,0,True
Armie Hammer,28 August 1986,False,322,Elizabeth Chambers,18 August 1982,False,-1,20 May 2010,None,1,False
Anthony Hopkins,31 December 1937,False,422,Jennifer Lynton,None,True,-1,13 January 1973,30 April 2002,0,True
Woody Harrelson,23 July 1961,False,470,Nancy Simon,None,False,-1,29 June 1985,20 January 1986,0,True
Patrick Dempsey,13 January 1966,False,496,Jillian Dempsey,None,False,-1,31 July 1999,None,3,False
Casey Affleck,12 August 1975,False,15,Summer Phoenix,10 December 1978,False,-1,03 June 2006,None,2,False
Sofía Vergara,10 July 1972,False,93,Joe Gonzalez,None,True,-1,01 January 1991,01 January 1993,1,True
Lara Pulver,01 September 1980,False,104,Josh Dallas,18 December 1978,False,-1,01 December 2007,01 January 2012,0,True
Genevieve Padalecki,08 January 1981,False,385,Jared Padalecki,19 July 1982,False,-1,27 February 2010,None,2,False
Hilary Duff,28 September 1987,False,413,Mike Comrie,11 September 1980,False,-1,14 August 2010,02 February 2016,1,True
Julia Roberts,28 October 1967,False,473,Lyle Lovett,01 November 1957,False,-1,25 June 1993,22 March 1995,0,True
Johnny Depp,09 June 1963,False,114,Amber Heard,22 April 1986,False,169,03 February 2015,16 August 2016,0,True
J.K. Simmons,09 January 1955,False,225,Michelle Schumacher,28 September 1966,False,-1,01 January 1996,None,2,False
Anne Hathaway,12 November 1982,False,314,Adam Shulman,02 April 1981,False,-1,29 September 2012,None,1,False
Olga Kurylenko,14 November 1979,False,443,Damian Gabrielle,None,True,-1,01 January 2006,01 January 2007,0,True
Jemaine Clement,10 January 1974,False,310,Miranda Manasiadis,None,True,-1,01 August 2008,None,1,False
Sam Taylor-Johnson,04 March 1967,False,260,Jay Jopling,None,False,-1,01 January 1997,01 January 2009,2,True
Lyndsy Fonseca,07 January 1987,False,90,Matthew Smiley,28 October 1981,False,-1,16 April 2009,13 January 2013,0,True
Bryan Cranston,07 March 1956,False,179,Michaelle Louise (Mickey) Middleton,None,True,-1,10 November 1977,08 April 1982,0,True
Lena Headey,03 October 1973,False,253,Peter Paul Loughran,None,True,-1,19 May 2007,26 December 2013,1,True
Liam Neeson,07 June 1952,False,294,Natasha Richardson,11 May 1963,False,-1,03 July 1994,None,2,False
Ewan McGregor,31 March 1971,False,237,Eve Mavrakis,22 June 1966,False,-1,22 July 1995,None,4,False
Jessica Lange,20 April 1949,False,441,Francisco Paco Grande,None,True,-1,29 July 1970,01 January 1981,0,True
Giovanni Ribisi,17 December 1974,False,375,Mariah O'Brien,25 June 1971,False,-1,18 March 1997,03 November 2001,1,True
Clint Eastwood,31 May 1930,False,234,Margaret (Maggie) Neville Johnson,None,True,-1,19 December 1953,19 November 1984,2,True
Evan Rachel Wood,07 September 1987,False,13,Jamie Bell,14 March 1986,False,-1,30 October 2012,None,1,False
Bar Paly,29 April 1985,False,403,Ian Kessner,None,False,-1,None,None,0,False
Tom Hanks,09 July 1956,False,117,Samantha Lewes,29 November 1952,False,-1,24 January 1978,19 March 1987,2,True
Reese Witherspoon,22 March 1976,False,215,Jim Toth,None,False,-1,26 March 2011,None,1,False
Melissa McCarthy,26 August 1970,False,342,Ben Falcone,25 August 1973,False,-1,08 October 2005,None,2,False
Tom Hardy,15 September 1977,False,1,Charlotte Riley,29 December 1981,False,291,04 July 2014,None,1,False
Emmy Rossum,12 September 1986,False,97,Justin Siegel,None,True,-1,17 February 2008,28 December 2010,0,True
John Travolta,18 February 1954,False,406,Kelly Preston,13 October 1962,False,-1,12 September 1991,None,3,False
Michelle Monaghan,23 March 1976,False,65,Peter White,None,True,-1,12 August 2005,None,2,False
Margot Robbie,02 July 1990,False,8,Tom Ackerley,None,False,-1,19 December 2016,None,0,False
Donnie Yen,27 July 1963,False,360,Jowan Leung Sing-Si,None,True,-1,01 January 1993,01 January 1995,1,True
